Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-10-16,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-17,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-18,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-19,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-20,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-21,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-22,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-23,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-24,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-25,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-26,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-27,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-28,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-29,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-30,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-10-31,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-11-02,84180.0,13736.0,3141.557,3.08,2.8,102.5497,21221.2,70.1
2022-11-03,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-04,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-05,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-06,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-07,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-08,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-09,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-10,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-11,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-12,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-13,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-14,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-15,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-16,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-17,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-18,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-19,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-20,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-21,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-22,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-23,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-24,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-25,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-26,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-27,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-28,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-29,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-11-30,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-02,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-03,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-04,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-05,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-06,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-07,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-08,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-09,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-10,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-11,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-12,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-13,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-14,84180.0,13736.0,3141.557,3.83,2.8,102.5497,21221.2,70.1
2022-12-15,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-16,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-17,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-18,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-19,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-20,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-21,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-22,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-23,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-24,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-25,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-26,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-27,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-28,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-29,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-30,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2022-12-31,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-02,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-03,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-04,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-05,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-06,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-07,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-08,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-09,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-10,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-11,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-12,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-13,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-14,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-15,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-16,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-17,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-18,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-19,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-20,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-21,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-22,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-23,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-24,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-25,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-26,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-27,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-28,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-29,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-30,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-01-31,84180.0,13736.0,3141.557,4.33,2.8,102.5497,21221.2,70.1
2023-02-02,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-03,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-04,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-05,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-06,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-07,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-08,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-09,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-02-10,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-11,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-12,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-13,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-14,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-15,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-16,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-17,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-18,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-19,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-20,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-21,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-22,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-23,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-24,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-25,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-26,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-02-27,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-02-28,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-02,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-03,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-04,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-05,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-06,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-07,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-08,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-09,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-10,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-11,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-12,84180.0,13736.0,3141.557,4.57,2.8,102.5497,21221.2,70.1
2023-03-13,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-14,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-15,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-16,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-17,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-18,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-19,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-20,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-21,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-22,84180.0,13736.0,3141.557,4.58,2.8,102.5497,21221.2,70.1
2023-03-23,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-24,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-25,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-26,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-27,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-28,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-29,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-30,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-03-31,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-02,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-03,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-04,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-05,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-06,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-07,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-08,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-09,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-10,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-11,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-12,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-13,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-14,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-15,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-16,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-17,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-18,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-19,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-20,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-21,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-22,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-23,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-24,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-25,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-26,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-27,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-28,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-29,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-04-30,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-05-02,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-05-03,84180.0,13736.0,3141.557,4.83,2.8,102.5497,21221.2,70.1
2023-05-04,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-05,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-06,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-07,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-08,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-09,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-10,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-11,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-12,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-13,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-14,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-15,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-16,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-17,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-18,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-19,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-20,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-21,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-22,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-23,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-24,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-25,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-26,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-27,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-28,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-29,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-30,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-05-31,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-02,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-03,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-04,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-05,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-06,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-07,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-08,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-09,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-10,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-11,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-12,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-13,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-14,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-15,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-16,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-17,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-18,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-19,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-06-20,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-21,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-22,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-23,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-24,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-25,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-26,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-27,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-28,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-29,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-06-30,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-02,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-03,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-04,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-05,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-06,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-07,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-08,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-09,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-10,84180.0,13736.0,3141.557,5.07,2.8,102.5497,21221.2,70.1
2023-07-11,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-12,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-13,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-14,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-15,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-16,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-17,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-18,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-19,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-20,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-21,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-22,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-23,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-24,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-25,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-26,84180.0,13736.0,3141.557,5.08,2.8,102.5497,21221.2,70.1
2023-07-27,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-07-28,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-07-29,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-07-30,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-07-31,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-02,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-03,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-04,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-05,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-06,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-07,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-08,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-09,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-10,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-11,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-12,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-13,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-14,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-15,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-16,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-17,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-18,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-19,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-20,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-21,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-22,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-23,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-24,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-25,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-26,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-27,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-28,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-29,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-30,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-08-31,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-02,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-03,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-04,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-05,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-06,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
2023-09-07,84180.0,13736.0,3141.557,5.33,2.8,102.5497,21221.2,70.1
